smiles,max_spin_ml,spin_buried_vol_ml,ionization_energy_ml,electron_affinity_ml,stability_ml,max_spin_dft,spin_buried_vol_dft,stability_dft,ionization_energy_dft,electron_affinity_dft
C=CC1=C(/C(C)=C\C)C(C)=N[CH]1,0.21164334,64.00546,1.108232855796814,-0.1194895654916763,103.423293,0.3418087330626031,45.16470869193177,78.07427203880161,1.3740095571734887,-0.02492653401870637
C=C(C(=O)S)c1c(C)c[nH]c1[O],0.32189494,61.27405,0.8831941485404968,-0.29242143034935,95.179303,0.3296951139665833,39.27492741615434,72.79017171782517,0.8842145786375077,-0.26606892844991314
CC(=O)Cc1c(CS)c[nH]c1[O],0.3074119,60.812923,0.96467924118042,-0.2647413611412048,95.442328,0.34560365144134475,41.38177124165715,74.10158866958992,,-0.35981024517664695
C=C(C)c1c([NH])oc(C=O)c1N,0.19971827,57.610832,0.95361328125,-0.1630619466304779,97.6249185,0.43727063607563693,45.0589649079078,73.19543310412595,,
CC=CC1=C(/C=C\C)C(C)=N[CH]1,0.20211555,57.557884,0.9834203124046326,-0.2434175014495849,97.4521065,0.34569632094167035,46.743312626112825,79.45849657902932,1.1537922926583493,-0.12038213316907775
C/C=C/C1=C(C(C)(N)N)C=C[CH]1,0.25074503,61.43837,0.8929415941238403,-0.3156838119029999,98.9011185,0.2607212069396689,56.81816282994592,93.78210248296247,,-0.39200065959842334
C=CC1=C(C=C(C)C)C(C)=N[CH]1,0.1713363,58.05142,0.9760177135467528,-0.1980777978897094,99.484605,0.42819329844690446,38.07923089027181,66.66956596792659,1.1903636510561153,-0.03594692103576502
Cc1sc([O])c([C@H](C)S)c1C,0.2936603,62.598217,0.9494789838790894,-0.2586385607719421,97.915202,0.25554039542309587,53.83389940496333,91.05687963380853,1.0477516798087114,-0.2541233731424013
CC(C)(O)c1sc([O])c(O)c1O,0.34386125,62.471134,1.003149151802063,-0.2161399722099304,95.2780715,0.3230349995851681,29.760743496390923,63.60899351713252,1.0726768020455717,-0.08859988122683671
CCC1=C[CH]SC(=O)/C1=C\C#N,0.23896748,57.742165,1.0305185317993164,-0.2223206758499145,95.793791,0.3061594992638301,33.96546166116279,68.65748669797128,1.2039690671246683,-0.16225960383173899
C=Cc1c(C)sc([O])c1[C@H](C)O,0.30054656,61.90209,1.019495964050293,-0.213663637638092,96.874762,0.5033253045481504,34.158056700456726,58.991791473049204,1.124459015608788,-0.10884474034110081
CC1=C[CH]C(C)=C(C(N)N)C1=N,0.1971443,62.44842,0.7812060117721558,-0.4340142905712127,102.591205,0.3263633537721642,37.46142705954437,71.14325937093616,1.0584455368347188,-0.4798100149148685
Cc1sc([O])c([C@H]2O[C@H]2C)c1C,0.31651095,61.34035,1.027671456336975,-0.22259321808815,95.5148025,0.522491153274682,57.16922554191734,81.04466787818325,1.0988536225639374,-0.1805997046947665
CC(=O)C1=C(C(=O)S)[CH]SC1C,0.30336225,63.743538,0.9670947790145874,-0.2258393764495849,98.5754255,,,,0.6123783655531314,-0.37145648133445963
CC(=N)C1=C(C)[CH]N=CCC1=O,0.2850663,61.410473,1.0144729614257812,-0.1429971754550933,97.15715800000001,0.2656692361782312,44.56471715335455,81.281255344443,0.8334935875281984,0.06242023715406031
[O]c1[nH]cc2scc(SCO)c12,0.23365724,58.257614,0.8867592215538025,-0.2444052994251251,96.57475199999999,0.36602432448027045,45.07875262909089,76.77753640507737,0.703779550709287,-0.4544495193586675
CC(=S)c1coc([O])c1C(C)C,0.35863712,63.307648,1.0507760047912598,-0.2430871427059173,95.37579199999999,0.3739899063054427,32.905218833417585,64.20572351814545,1.250363535925226,-0.03907616673179515
C=C(C)c1csc([O])c1/C=C\C,0.2776541,61.04082,1.070816159248352,-0.0913039371371269,97.158115,0.2783046362352269,45.14362618342433,81.22839437166299,,0.02486928880169703
C=Cc1c[nH]c([O])c1C(S)C=O,0.34380314,62.54112,0.8511229753494263,-0.2936828136444092,95.35096300000001,0.36445955522234946,32.32622551101543,64.10324774989795,0.8983097896879997,-0.23687170556225912
C=C(C)C1=C(/C=C/C)C(C)=N[CH]1,0.20929532,55.81675,1.0380223989486694,-0.2208417654037475,95.35198399999999,0.3113273675383891,41.568026223353854,76.0016578464344,1.269193431767098,-0.012980978708099222
C=CC1=C(C(C)C)[CH]C=C1CN,0.2010517,59.64083,1.0524845123291016,-0.2832134962081909,99.588245,0.35907400454147237,34.34531563640769,66.39161540933407,1.1924316742982386,-0.18827315935921796
C=C1CCC2=C1C(CN)=C[CH]2,0.2549739,59.036163,0.95854914188385,-0.1911919713020324,96.287468,0.23108278420590753,42.574211237970296,81.02007202767493,,
CS[C@H](C)c1c(CO)c[nH]c1[O],0.3294091,66.17616,0.8467274904251099,-0.3037601113319397,99.705705,,,,,
COc1sc([O])c2c1CC=C2C,0.20978756,57.360104,0.7867076992988586,-0.3616786003112793,96.87072599999999,0.4730345155018714,57.82513369765844,84.17340792256488,0.5579567012696378,-0.46250392567677023
